,Rank,Title,Start Year,End Year,Rating,Duration,Votes,Genre,Certificate,Primary Genre
197,197,Parks and Recreation,2009,2015,8.6,22 ,264163,Comedy,TV-14,Comedy
198,198,The X-Files,1993,2018,8.6,45 ,229949,"Crime, Drama, Mystery",TV-14,Crime
199,199,Sons of Anarchy,2008,2014,8.6,45 ,301885,"Crime, Drama, Thriller",TV-MA,Crime
200,200,Justified,2010,2015,8.6,44 ,102676,"Action, Crime, Drama",TV-MA,Action
201,201,Call the Midwife,2012,,8.6,60 ,27901,"Drama, History",TV-PG,Drama
202,202,All Creatures Great and Small,2020,,8.6,,12802,"Comedy, Drama",TV-PG,Comedy
203,203,Boardwalk Empire,2010,2014,8.6,55 ,192074,"Crime, Drama",TV-MA,Crime
204,204,Atlanta,2016,2022,8.6,30 ,77223,"Comedy, Drama, Music",TV-MA,Comedy
205,205,Mindhunter,2017,2019,8.6,60 ,296216,"Crime, Drama, Mystery",TV-MA,Crime
206,206,What We Do in the Shadows,2019,,8.6,30 ,81292,"Comedy, Fantasy, Horror",TV-MA,Comedy
207,207,Mr. Robot,2015,2019,8.6,49 ,392546,"Crime, Drama, Thriller",TV-MA,Crime
208,208,Poirot,1989,2013,8.6,100 ,46965,"Crime, Drama, Mystery",TV-14,Crime
209,209,Daredevil,2015,2018,8.6,54 ,446226,"Action, Crime, Drama",TV-MA,Action
210,210,Endeavour,2012,2023,8.6,89 ,27378,"Crime, Drama, Mystery",TV-14,Crime
211,211,Deadwood,2004,2006,8.6,55 ,109431,"Crime, Drama, History",TV-MA,Crime
212,212,Archer,2009,,8.6,22 ,157172,"Animation, Action, Comedy",TV-MA,Animation
213,213,Detectorists,2014,2022,8.6,30 ,16642,Comedy,TV-14,Comedy
214,214,Adventure Time,2010,2018,8.6,11 ,98091,"Animation, Action, Adventure",TV-PG,Animation
